model,validation_mae,validation_rmse,test_mae,test_rmse
LightGBM,33.780153545235365,51.97121712617816,31.268583391685052,50.16400914558891
Random Forest,40.631927226510136,64.52481901553087,38.67217533291007,63.99172937248036
LSTM,35.115114124799966,50.73348022758636,34.38787942912855,51.886598465645115
